id,is_generic,name,Type,type
0301011R0AAAQAQ,TRUE,Salbutamol 200micrograms/dose dry powder inhaler,Accuhaler,product format
0301011U0AAAEAE,TRUE,Salmeterol 50micrograms/dose dry powder inhaler,Accuhaler,product format
0301011U0BBAEAE,FALSE,Serevent 50micrograms/dose Accuhaler,Accuhaler,product format
0301011R0BEAHAQ,FALSE,Ventolin 200micrograms/dose Accuhaler,accuhaler,product format
0301020I0BBAIAI,FALSE,Atrovent 40microgram Aerocaps,Aerocaps,product format
0301020I0BBAHAH,FALSE,Atrovent 40microgram Aerocaps with Aerohaler,Aerocaps,product format
0301011R0BKADAD,FALSE,Aerolin 100micrograms/dose Autohaler,Autohaler,product format
0301011R0BMABBU,FALSE,Airomir 100micrograms/dose Autohaler,Autohaler,product format
0301020I0BBAGAG,FALSE,Atrovent 20micrograms/dose Autohaler,Autohaler,product format
0301040M0BBACAC,FALSE,Duovent Autohaler,Autohaler,product format
0301040M0BBAAAA,FALSE,Duovent inhaler,Autohaler,product format
0301020P0BBABAB,FALSE,Oxivent 100micrograms/dose Autohaler,Autohaler,product format
0301011X0AAAAAA,TRUE,Indacaterol 150microgram inhalation pdr caps with device,Breezhaler,product format
0301011X0AAABAB,TRUE,Indacaterol 300microgram inhalation pdr caps with device,Breezhaler,product format
0301040Y0AAAAAA,TRUE,Indacaterol 85microg/Glycopyrronium brom 54microg/dose,Breezhaler,product format
0301011X0BBAAAA,FALSE,Onbrez Breezhaler 150microgram inhalation pdr caps with dev,Breezhaler,product format
0301011X0BBABAB,FALSE,Onbrez Breezhaler 300microgram inhalation pdr caps with dev,Breezhaler,product format
0301020S0BBAAAA,FALSE,Seebri Breezhaler 44microgram inhalation pdr caps with dev,Breezhaler,product format
0301040Y0BBAAAA,FALSE,Ultibro Breezhaler 85microg/43microg pdr caps with dev,Breezhaler,product format
0301011R0BJABAF,FALSE,Asmasal 95micrograms/dose Clickhaler,Clickhaler,product format
0301011R0BPACAV,FALSE,Salbutamol 200 Cyclocaps,Cyclocaps,product format
0301011R0BPADAW,FALSE,Salbutamol 400 Cyclocaps,Cyclocaps,product format
0301011R0AAAJAJ,TRUE,Salbutamol 400microgram inhalation pdr blist with device,Cyclocaps,product format
0301011R0AAALAL,TRUE,Salbutamol 400microgram inhalation powder blisters,Cyclocaps,product format
0301011R0AAAWAW,TRUE,Salbutamol 400microgram inhalation powder capsules,Cyclocaps,product format
0301011R0AAAIAI,TRUE,Salbutamol 200microgram inhalation pdr blist with device,Diskhaler,product format
0301011R0AAAKAK,TRUE,Salbutamol 200microgram inhalation powder blisters,Diskhaler,product format
0301011R0AAAVAV,TRUE,Salbutamol 200microgram inhalation powder capsules,Diskhaler,product format
0301011U0AAAAAA,TRUE,Salmeterol 50microgram inhalation pdr blist with device,Diskhaler,product format
0301011U0AAABAB,TRUE,Salmeterol 50microgram inhalation powder blisters,Diskhaler,product format
0301011U0BBABAB,FALSE,Serevent 50microgram disks,Diskhaler,product format
0301011U0BBAAAA,FALSE,Serevent 50microgram disks with Diskhaler,Diskhaler,product format
0301011R0BLABAK,FALSE,Ventodisks 200microgram,Diskhaler,product format
0301011R0BLAAAI,FALSE,Ventodisks 200microgram with Diskhaler,Diskhaler,product format
0301011R0BLADAL,FALSE,Ventodisks 400microgram,Diskhaler,product format
0301011R0BLACAJ,FALSE,Ventodisks 400microgram with Diskhaler,Diskhaler,product format
0301011R0BIAGBU,FALSE,Salamol 100micrograms/dose Easi-Breathe inhaler,Easi-breathe,product format
0301011R0AAADAD,TRUE,Salbutamol 100micrograms/dose breath actuated inhaler,Easi-breathe,product format
0301011R0AABUBU,TRUE,Salbutamol 100micrograms/dose breath actuated inh CFC free,Easi-breathe,product format
0301011R0BWAABZ,FALSE,Easyhaler Salbutamol sulfate 100micrograms/dose dry pdr inh,Easyhaler,product format
0301011R0BWABAQ,FALSE,Easyhaler Salbutamol sulfate 200micrograms/dose dry pdr inh,Easyhaler,product format
0301011E0BEAAAC,FALSE,Formoterol Easyhaler 12micrograms/dose dry powder inhaler,Easyhaler,product format
0301011R0AABZBZ,TRUE,Salbutamol 100micrograms/dose dry powder inhaler,Easyhaler,product format
0301011R0AAAFAF,TRUE,Salbutamol 95micrograms/dose dry powder inhaler,Easyhaler,product format
0301040W0AAAAAA,TRUE,Umeclidinium brom 65microg/Vilanterol 22microg/dose dry pdr,Ellipta,product format
0301011ABBBAAA0,FALSE,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh,Ellipta,product format
0301020T0AAAAAA,TRUE,Umeclidinium bromide 65micrograms/dose dry powder inhaler,Ellipta,product format
0301040W0BBAAAA,FALSE,Anoro Ellipta 55microg/dose / 22microg/dose dry pdr inh,Ellipta,product format
0301020S0AAAAAA,TRUE,Glycopyrronium bromide 55microg inhalation pdr caps with dev,Ellipta,product format
0301020T0BBAAAA,FALSE,Incruse Ellipta 55micrograms/dose dry powder inhaler,Ellipta,product format
0301011E0BBAAAA,FALSE,Foradil 12microgram inhalation powder capsules with device,Foradil,product format
0301011E0AAAAAA,TRUE,Formoterol 12microgram inhalation pdr caps with device,Foradil,product format
0301040V0AAAAAA,TRUE,Aclidinium brom 396mcg/dose / Formoterol 11.8mcg/dose DP inh,Genuair,product format
0301020R0AAAAAA,TRUE,Aclidinium bromide 375micrograms/dose dry powder inhaler,Genuair,product format
0301040V0BBAAAA,FALSE,Duaklir 340micrograms/dose / 12micrograms/dose Genuair,Genuair,product format
0301020R0BBAAAA,FALSE,Eklira 322micrograms/dose Genuair,Genuair,product format
0301020Q0BBAAAA,FALSE,Spiriva 18microgram inhalation pdr caps with HandiHaler,Handihaler,product format
0301020Q0BBABAB,FALSE,Spiriva 18microgram inhalation powder capsules,Handihaler,product format
0301020Q0AAAAAA,TRUE,Tiotropium bromide 18microgram inhalation pdr caps with dev,Handihaler,product format
0301020Q0AAABAB,TRUE,Tiotropium bromide 18microgram inhalation powder capsules,Handihaler,product format
0301011R0BMAAAP,FALSE,Airomir 100micrograms/dose inhaler,MDI,product format
0301011R0BZAAAP,FALSE,AirSalb 100micrograms/dose inhaler CFC free,MDI,product format
